participant_uid,condition,item_role,test_boundary_position,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
item_only_00045,item_only,lure,pre,1.4198971333098598,2.459423235299148,-1.039526101989288
item_only_00046,item_only,target,post,3.2663711000350304,1.6874017789439102,1.5789693210911202
item_only_00046,item_only,target,mid,5.148767599991213,1.3890296000001185,3.759737999991094
item_only_00046,item_only,target,pre,2.350181200017687,1.468008638886709,0.8821725611309779
item_only_00046,item_only,lure,post,1.8738402799936011,2.1458609799970874,-0.2720207000034862
item_only_00046,item_only,lure,mid,1.672287113335915,3.0601587599958293,-1.3878716466599144
item_only_00046,item_only,lure,pre,1.6946629071441879,3.5960017166604907,-1.9013388095163029
item_only_00047,item_only,target,post,2.198879057134036,1.6950729615323676,0.5038060956016683
item_only_00047,item_only,target,mid,3.242458600003738,1.5220142400047432,1.7204443599989947
item_only_00047,item_only,target,pre,2.66511428571539,1.701503584618107,0.963610701097283
item_only_00047,item_only,lure,post,1.654103416648771,1.7152240142791666,-0.06112059763039568
item_only_00047,item_only,lure,mid,1.9429738428609977,2.097143869224685,-0.15417002636368737
item_only_00047,item_only,lure,pre,1.9968420875011361,1.696014549980949,0.3008275375201872
item_only_00048,item_only,target,post,4.396690249999892,1.9912428722222255,2.4054473777776666
item_only_00048,item_only,target,mid,2.6515970666667577,2.575427258823605,0.07616980784315253
item_only_00048,item_only,target,pre,4.352170500000024,2.531892630769282,1.8202778692307415
item_only_00048,item_only,lure,post,2.0828251166666405,2.504352449999942,-0.4215273333333016
item_only_00048,item_only,lure,mid,4.037112075000039,3.2086610583332535,0.8284510166667851
item_only_00048,item_only,lure,pre,3.636724285714276,4.2847200666665985,-0.6479957809523227
item_only_00049,item_only,target,post,4.985295399998514,4.737712816665105,0.24758258333340954
item_only_00049,item_only,target,mid,4.1920686999947065,4.22778904165898,-0.03572034166427329
item_only_00049,item_only,target,pre,4.713486662498326,3.4471376083238283,1.2663490541744977
item_only_00049,item_only,lure,post,4.561519340012455,5.661033090006095,-1.0995137499936396
item_only_00049,item_only,lure,mid,4.176537572734312,4.487443211100374,-0.3109056383660622
item_only_00049,item_only,lure,pre,3.5469384461489075,6.411579371421665,-2.864640925272757
item_only_00050,item_only,target,post,2.013790700000004,2.636245280000018,-0.6224545800000141
item_only_00050,item_only,target,mid,4.218175500000029,3.3273954842104976,0.8907800157895318
item_only_00050,item_only,target,pre,6.452908842857157,1.9351045461538485,4.517804296703309
item_only_00050,item_only,lure,post,3.0708668714285716,3.9778415230769304,-0.9069746516483588
item_only_00050,item_only,lure,mid,5.149364387500043,2.687944358333368,2.461420029166675
item_only_00050,item_only,lure,pre,2.9823744444444173,2.2058174909090607,0.7765569535353567
item_only_00051,item_only,target,post,8.207783424993977,4.703175581238611,3.504607843755366
item_only_00051,item_only,target,mid,16.388481059996412,4.499378333341641,11.889102726654771
item_only_00051,item_only,target,pre,8.072551600002043,2.8415545583169055,5.2309970416851375
item_only_00051,item_only,lure,post,5.670937271435313,6.758595650006707,-1.087658378571394
item_only_00051,item_only,lure,mid,7.76822155714035,7.1046832333668135,0.6635383237735368
item_only_00051,item_only,lure,pre,9.60903590910179,4.035840400003104,5.573195509098686
item_only_00052,item_only,target,post,2.0352727200000116,2.264012619999994,-0.22873989999998257
item_only_00052,item_only,target,mid,3.375501588888963,3.0967538909089853,0.27874769797997745
item_only_00052,item_only,target,pre,1.6240412750000057,1.8021385375001273,-0.1780972625001216
item_only_00052,item_only,lure,post,2.6079579111110434,2.1612833909089617,0.44667452020208165
item_only_00052,item_only,lure,mid,2.9329718923075303,2.748239300000023,0.18473259230750738
item_only_00052,item_only,lure,pre,1.993580284615256,3.4007126142857618,-1.4071323296705058
item_only_00053,item_only,target,post,5.102559183333294,3.2914564000000155,1.8111027833332782
item_only_00053,item_only,target,mid,4.4420987800001965,3.856554680000227,0.5855440999999697
item_only_00053,item_only,target,pre,3.6833176454547356,3.0386989888888314,0.6446186565659042
item_only_00053,item_only,lure,post,3.7510945799998203,5.6447143199999115,-1.8936197400000911
item_only_00053,item_only,lure,mid,1.9104923000000522,3.3586597000001066,-1.4481674000000544
item_only_00053,item_only,lure,pre,3.718882533333373,4.488315263636071,-0.7694327303026984
item_only_00054,item_only,target,post,3.9239409583290885,3.32749160000094,0.5964493583281487
item_only_00054,item_only,target,mid,3.4454456615405014,2.275925471422462,1.1695201901180394
item_only_00054,item_only,target,pre,3.320119146154656,2.8292490285904415,0.4908701175642145
item_only_00054,item_only,lure,post,3.202492991661226,3.3430342499996186,-0.1405412583383927
item_only_00054,item_only,lure,mid,4.475819973329393,6.698708540003281,-2.2228885666738885
item_only_00054,item_only,lure,pre,2.6618647999954796,2.6293268999870634,0.032537900008416276
item_only_00055,item_only,target,post,3.2493180000123436,2.410399684624281,0.8389183153880628
item_only_00055,item_only,target,mid,3.2075055666597714,2.264780364286188,0.9427252023735835
item_only_00055,item_only,target,pre,2.8946634888998233,1.7864855818122372,1.1081779070875861
item_only_00055,item_only,lure,post,2.367128125006275,2.5756555083401813,-0.20852738333390652
item_only_00055,item_only,lure,mid,1.8320850428426638,2.2652095384636106,-0.4331244956209468
item_only_00055,item_only,lure,pre,2.084839150001062,2.861459879996255,-0.776620729995193
item_only_00056,item_only,target,post,3.6765617400058543,3.045585193327861,0.6309765466779935
item_only_00056,item_only,target,mid,2.3948239899997135,2.520005150002544,-0.12518116000283053
item_only_00056,item_only,target,pre,2.8551796750034555,1.2265906000029645,1.628589075000491
item_only_00056,item_only,lure,post,2.0446428999961688,3.0310657153850817,-0.986422815388913
item_only_00056,item_only,lure,mid,4.683123908323371,4.91043935000198,-0.2273154416786083
item_only_00056,item_only,lure,pre,4.132947983331785,3.904449587505951,0.22849839582583353
task_only_00019,task_only,target,post,1.4269339125000897,1.020267841666661,0.40666607083342865
task_only_00019,task_only,target,mid,2.3402142500001446,1.3297325750000368,1.0104816750001078
task_only_00019,task_only,target,pre,2.178209500000321,1.3005431555556646,0.8776663444446564
task_only_00019,task_only,lure,post,1.7124447750000702,1.925338362500156,-0.2128935875000859
task_only_00019,task_only,lure,mid,1.8001100416666607,2.3954183124999417,-0.5953082708332811
task_only_00019,task_only,lure,pre,1.4114970909091757,2.1933765777777,-0.7818794868685244
task_only_00020,task_only,target,post,1.4400228000001032,1.6317238642854395,-0.1917010642853363
task_only_00020,task_only,target,mid,2.1957735666655935,2.00704504705915,0.18872851960644343
task_only_00020,task_only,target,pre,2.839639719999832,1.5870688466665646,1.2525708733332672
task_only_00020,task_only,lure,post,2.3096299066673964,1.8088646799995332,0.5007652266678633
task_only_00020,task_only,lure,mid,2.3115006909088565,4.755136422222778,-2.4436357313139214
task_only_00020,task_only,lure,pre,2.132354955555153,3.2586683181814973,-1.1263133626263442
task_only_00021,task_only,target,post,2.3905749000000975,1.267560354544416,1.1230145454556815
task_only_00021,task_only,target,mid,1.8434024599999248,1.7396255699990433,0.10377689000088153
task_only_00021,task_only,target,pre,2.1429764124995927,1.512685725000362,0.6302906874992307
task_only_00021,task_only,lure,post,1.9381752555556078,1.4270084363637248,0.511166819191883
task_only_00021,task_only,lure,mid,2.706168433333611,1.7844522214296117,0.9217162119039994
task_only_00021,task_only,lure,pre,1.9623936714269803,1.895131799999105,0.06726187142787521
task_only_00022,task_only,target,post,2.6183843333322634,1.5771748882364003,1.041209445095863
task_only_00022,task_only,target,mid,3.0218137999996544,1.432343366665494,1.5894704333341603
task_only_00022,task_only,target,pre,1.6263100499927532,1.3150976388901148,0.3112124111026384
task_only_00022,task_only,lure,post,1.4250441499989392,2.0736978749991977,-0.6486537250002584
task_only_00022,task_only,lure,mid,1.5611586833329056,2.1984106142834725,-0.6372519309505669
task_only_00022,task_only,lure,pre,2.0329234749988245,1.6673817937498825,0.36554168124894204
task_only_00023,task_only,target,post,1.9043231166651822,2.0298523500012897,-0.12552923333610755
task_only_00023,task_only,target,mid,2.0116052857151123,1.573685653846881,0.43791963186823124
task_only_00023,task_only,target,pre,1.994077550003567,1.2732778687532118,0.7207996812503552
task_only_00023,task_only,lure,post,2.743286463634418,2.931861433336356,-0.18857496970193832
task_only_00023,task_only,lure,mid,2.2714844142860136,2.145320246155069,0.12616416813094444
task_only_00023,task_only,lure,pre,2.1189682285683893,2.278811053847536,-0.15984282527914662
task_only_00024,task_only,target,post,5.41730283999932,1.9695048333320302,3.44779800666729
task_only_00024,task_only,target,mid,3.44073896665941,2.0353121785758828,1.4054267880835272
task_only_00024,task_only,target,pre,2.8019932500004265,2.40819217142728,0.3938010785731465
task_only_00024,task_only,lure,post,3.46167860001151,2.170593221052274,1.2910853789592358
task_only_00024,task_only,lure,mid,1.888772375004919,2.7505041312524554,-0.8617317562475364
task_only_00024,task_only,lure,pre,5.348557333330973,2.3171402705877826,3.0314170627431904
task_only_00025,task_only,target,post,2.1276305727272056,1.4261156999999811,0.7015148727272245
task_only_00025,task_only,target,mid,2.1782380833333264,1.8894263714285964,0.28881171190473
task_only_00025,task_only,target,pre,1.9177818666668525,1.7223261428569978,0.19545572380985465
task_only_00025,task_only,lure,post,2.0206487400000697,1.6016301599999982,0.4190185800000714
task_only_00025,task_only,lure,mid,1.6489769499999056,1.9844262799999342,-0.3354493300000285
task_only_00025,task_only,lure,pre,1.8980822111110076,2.1862051727274032,-0.2881229616163956
task_only_00026,task_only,target,post,5.354549700000189,1.7856262533333696,3.5689234466668194
task_only_00026,task_only,target,mid,5.240475999999944,1.858306284210501,3.382169715789443
task_only_00026,task_only,target,pre,4.411243500000107,1.9305860142857065,2.4806574857144
task_only_00026,task_only,lure,post,2.4092783800000235,2.502329099999997,-0.09305071999997372
task_only_00026,task_only,lure,mid,1.7124893714285463,3.739703892307681,-2.027214520879135
task_only_00026,task_only,lure,pre,3.564977850000048,3.443405958333377,0.12157189166667104
task_only_00027,task_only,target,post,1.6606334500001139,1.4054423000003227,0.2551911499997912
task_only_00027,task_only,target,mid,1.8135250000001406,1.453378758333353,0.36014624166678755
task_only_00027,task_only,target,pre,3.8379973500000233,1.570166405555584,2.267830944444439
task_only_00027,task_only,lure,post,2.479753225000195,2.282050275000131,0.197702950000064
task_only_00027,task_only,lure,mid,1.9928050800000165,2.932471030000124,-0.9396659500001077
task_only_00027,task_only,lure,pre,1.6045458999999482,2.803056737500185,-1.198510837500237
task_only_00028,task_only,target,post,1.6066305799999099,1.1496226733335182,0.4570079066663917
task_only_00028,task_only,target,mid,1.859548125000174,1.366555006249996,0.4929931187501779
task_only_00028,task_only,target,pre,2.4877135000001545,1.2803640611111606,1.2073494388889938
task_only_00028,task_only,lure,post,2.095717783333233,1.4384266142857476,0.6572911690474854
task_only_00028,task_only,lure,mid,0.9690691000001607,2.0439423466666993,-1.0748732466665385
