participant_uid,condition,item_role,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
item_only_00053,item_only,target,4.429339154545563,3.4164995888889584,1.0128395656566043
item_only_00053,item_only,lure,3.326122825806388,4.181297089655095,-0.8551742638487068
item_only_00054,item_only,target,3.553674578947003,2.8343706500044474,0.7193039289425553
item_only_00054,item_only,lure,3.525887002559522,3.8701158047576123,-0.3442288021980904
item_only_00055,item_only,target,3.092828672733793,2.176143747369918,0.9166849253638749
item_only_00055,item_only,lure,2.1044004719983787,2.5420053971449046,-0.43760492514652594
item_only_00056,item_only,target,2.833586347828437,2.3135923405399708,0.5199940072884663
item_only_00056,item_only,lure,3.8743665483817757,3.790447096554121,0.0839194518276547
task_only_00019,task_only,target,1.7951962357144242,1.237580697826141,0.5576155378882832
task_only_00019,task_only,lure,1.6479178800000487,2.1722577040000033,-0.5243398239999546
task_only_00020,task_only,target,2.101832578571183,1.7558681000000038,0.34596447857117907
task_only_00020,task_only,lure,2.2646328800001356,3.507436107999965,-1.2428032279998296
task_only_00021,task_only,target,2.11455592592581,1.4997469181813137,0.6148090077444963
task_only_00021,task_only,lure,2.1553337999995907,1.7188457184211554,0.4364880815784353
task_only_00022,task_only,target,2.621684209998057,1.4393776220004657,1.1823065879975911
task_only_00022,task_only,lure,1.6054999555546803,1.9604817095227882,-0.35498175396810794
task_only_00023,task_only,target,1.9696168176477145,1.6104254023274163,0.3591914153202982
task_only_00023,task_only,lure,2.436372783998377,2.397155994287459,0.03921678971091769
task_only_00024,task_only,target,3.796641617644448,2.133758916279645,1.6628827013648033
task_only_00024,task_only,lure,3.382805012503013,2.3969369596158616,0.9858680528871515
task_only_00025,task_only,target,2.086089391304362,1.7135020675675174,0.37258732373684467
task_only_00025,task_only,lure,1.8198230458332698,1.8865825583333542,-0.06675951250008438
task_only_00026,task_only,target,4.873390458333461,1.856675362499999,3.0167150958334616
task_only_00026,task_only,lure,2.584001288000018,3.2845803742857242,-0.7005790862857064
task_only_00027,task_only,target,1.9395264600001156,1.4939490850000994,0.44557737500001626
task_only_00027,task_only,lure,2.014735961111152,2.635391011904912,-0.62065505079376
task_only_00028,task_only,target,1.8587974909091414,1.2684851693878285,0.5903123215213129
task_only_00028,task_only,lure,1.5044040599999788,1.6982237711111439,-0.19381971111116503
task_only_00029,task_only,target,3.291323904999808,1.705243422499916,1.5860804824998922
task_only_00029,task_only,lure,2.9085516545462515,2.343069792105349,0.5654818624409024
task_only_00030,task_only,target,4.059357700000007,3.959733900000067,0.09962379999993987
task_only_00030,task_only,lure,3.897014699999968,3.4621303806451316,0.4348843193548366
task_only_00032,task_only,target,2.1072742187525364,2.3616141999976077,-0.2543399812450713
task_only_00032,task_only,lure,2.184142557499581,2.2006280000001426,-0.016485442500561387
task_only_00033,task_only,target,1.8835930333333182,1.4327463688888857,0.45084666444443244
task_only_00033,task_only,lure,1.6425998592592856,1.6008271060606025,0.04177275319868312
task_only_00034,task_only,target,2.4864779424995502,1.3924816799997644,1.0939962624997859
task_only_00034,task_only,lure,1.7568168935479573,2.60329213103426,-0.8464752374863027
task_only_00035,task_only,target,2.9988765956482184,2.266618875675753,0.7322577199724654
task_only_00035,task_only,lure,2.5782549923046294,3.1176638617633965,-0.5394088694587671
task_only_00036,task_only,target,1.7611675966657154,1.3335050500036838,0.42766254666203163
task_only_00036,task_only,lure,2.081757452633036,1.5247826390266532,0.5569748136063828
task_only_00037,task_only,target,1.9718057388915138,1.5829941285690958,0.38881161032241796
task_only_00037,task_only,lure,2.305247227778535,1.947431787501652,0.35781544027688317
task_only_00038,task_only,target,5.264501075001135,3.619087680769483,1.6454133942316522
task_only_00038,task_only,lure,3.831540493333159,5.116744326666716,-1.2852038333335565
task_only_00039,task_only,target,1.871962935713652,1.3606636195744732,0.5112993161391788
task_only_00039,task_only,lure,2.8227075466692138,1.8416450822195556,0.9810624644496582
task_only_00040,task_only,target,2.509822984613353,1.444850695742408,1.0649722888709447
task_only_00040,task_only,lure,2.0522859666697597,2.85556706296349,-0.8032810962937305
task_only_00041,task_only,target,1.4952181230779762,1.8650495523830788,-0.3698314293051026
task_only_00041,task_only,lure,1.4936450500021843,1.4346258600009605,0.0590191900012238
task_only_00042,task_only,target,2.733604380641238,1.6828324482776225,1.0507719323636153
task_only_00042,task_only,lure,1.9619305235306348,2.4250508769294425,-0.46312035339880775
task_only_00043,task_only,target,2.7580523857115105,2.0595267384614533,0.6985256472500572
task_only_00043,task_only,lure,2.581186211114982,3.0782217928568745,-0.49703558174189233
task_only_00044,task_only,target,2.4537602333334183,1.4241190785708437,1.0296411547625746
task_only_00044,task_only,lure,2.181125180000007,2.702538888002164,-0.5214137080021568
